timestamp,user_id,step,action,data,status,duration_ms,error,metadata
2025-07-03T10:30:56.867340,5918952434,workflow_start,start,"{""workflow_type"": ""enhanced_rss_workflow""}",started,0,,
2025-07-03T10:31:07.578037,5918952434,step1_fetch_news,fetch_complete,"{""article_count"": 3, ""sources"": [""news_service"", ""guardian"", ""ap_news"", ""reuters""], ""method"": ""enhanced_rss_ultra_summary""}",success,8319,,
2025-07-03T10:31:35.481559,5918952434,step2_article_selection,user_selection,"{""selected_rank"": 1, ""article_title"": ""Trump announces trade deal with Vietnam"", ""total_articles"": 3}",selected,0,,
2025-07-03T11:08:50.250359,5918952434,workflow_start,start,"{""workflow_type"": ""enhanced_rss_workflow""}",started,0,,
2025-07-03T11:09:00.835734,5918952434,step1_fetch_news,fetch_complete,"{""article_count"": 3, ""sources"": [""news_service"", ""guardian"", ""ap_news"", ""reuters""], ""method"": ""enhanced_rss_ultra_summary""}",success,7847,,
2025-07-03T11:09:15.669695,5918952434,step2_article_selection,user_selection,"{""selected_rank"": 3, ""article_title"": ""Starmer Crisis Shows UK Still Lives at Mercy of Bond Market"", ""total_articles"": 3}",selected,0,,
2025-07-03T11:09:22.647987,5918952434,step4_writing_style,user_selection,"{""selected_style"": ""expert""}",selected,0,,
2025-07-03T11:10:11.669678,5918952434,step5_content_generation,ai_generation,"{""content_length"": 1994, ""ai_provider"": ""enhanced_ai_service"", ""method"": ""enhanced_ai_service""}",success,8843,,
2025-07-03T11:10:43.255806,5918952434,step7_image_generation,image_generation,"{""image_path"": ""generated_images/stability_1751515842.png"", ""image_provider"": ""advanced_image_service"", ""method"": ""advanced_image_service""}",success,0,,
2025-07-03T11:11:04.587070,5918952434,workflow_complete,complete,"{""total_duration_ms"": 134335, ""final_status"": ""success""}",success,0,,
